"malavi_host","botw_names","lat","lon","n_records","seasonal_codes","verdict","range_edition","crosswalk","release"
"Remiz pendulinus","Remiz pendulinus",55.68333,13.43333,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Saxicola rubetra","Saxicola rubetra",55.68333,13.43333,4,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Setophaga graciae","Setophaga graciae",35.53333,-107.35,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sitta europaea","Sitta europaea",50.83933,8.67674,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Streptopelia turtur","Streptopelia turtur",35.86203,23.30495,1,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sturnus vulgaris","Sturnus vulgaris",38.24618,35.19878,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sturnus vulgaris","Sturnus vulgaris",55.08333,20.73333,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia atricapilla","Sylvia atricapilla",38.24618,35.19878,2,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia atricapilla","Sylvia atricapilla",44.06,40.73,2,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia atricapilla","Sylvia atricapilla",50.83933,8.67674,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia atricapilla","Sylvia atricapilla",53.25,0.56667,3,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia atricapilla","Sylvia atricapilla",55.68333,13.43333,9,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia atricapilla","Sylvia atricapilla",59.16667,15.41667,5,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia borin","Sylvia borin",53.25,0.56667,1,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia borin","Sylvia borin",55.68333,13.43333,7,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia borin","Sylvia borin",59.16667,15.41667,2,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia cantillans","Curruca cantillans",40.19,-7.82,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia communis","Curruca communis",38.24618,35.19878,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia communis","Curruca communis",53.25,0.56667,1,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia communis","Curruca communis",55.68333,13.43333,7,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia crassirostris","Curruca crassirostris",38.24618,35.19878,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia curruca","Curruca curruca",55.68333,13.43333,3,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Sylvia curruca","Curruca curruca",59.16667,15.41667,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Troglodytes troglodytes","Troglodytes troglodytes",55.68333,13.43333,3,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Turdus iliacus","Turdus iliacus",59.16667,15.41667,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Turdus merula","Turdus merula",55.68333,13.43333,2,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Turdus merula","Turdus merula",59.16667,15.41667,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Turdus philomelos","Turdus philomelos",55.68333,13.43333,4,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Turdus pilaris","Turdus pilaris",59.16667,15.41667,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Zonotrichia albicollis","Zonotrichia albicollis",42.96667,-80.66667,1,"3","nonbreeding_or_passage","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
